date,Closed PnL,Trade_Count,Avg_Trade_Size,LS_Ratio,value,classification
2024-12-16,166774.344133,1055,2597.9231943127966,1.0018975332068312,83,Extreme Greed
2024-12-17,219591.305172,1941,2696.3408706852138,1.1662946428571428,87,Extreme Greed
2024-12-18,13682.994673,1429,2658.423421973408,0.872870249017038,81,Extreme Greed
2024-12-19,62744.004486000005,3339,2468.316678646301,0.8437327443401436,75,Extreme Greed
2024-12-20,254969.660039,2488,3087.3290635048234,0.8484398216939079,74,Greed
2024-12-21,150022.163157,1681,2607.302272456871,0.6759720837487537,73,Greed
2024-12-22,352197.163973,774,3988.7858139534887,0.8650602409638555,73,Greed
2024-12-23,-29430.626577,2347,2885.333728163613,0.4416461916461916,70,Greed
2024-12-24,14813.780116,338,5227.917485207101,0.3629032258064516,73,Greed
2024-12-25,756.6570469999998,208,1672.5449519230767,0.3959731543624161,73,Greed
2024-12-26,60228.639722,697,3163.9062410329984,0.5021551724137931,79,Extreme Greed
2024-12-27,2672.811035,260,1338.126923076923,0.37566137566137564,74,Greed
2024-12-28,940.673623,161,1748.7888819875777,0.319672131147541,72,Greed
2024-12-29,2884.067927,201,1714.5698507462685,0.12290502793296089,73,Greed
2024-12-30,9009.738137,304,3532.453059210526,1.082191780821918,65,Greed
2024-12-31,5445.01281,306,2866.551045751634,1.8333333333333333,64,Greed
2025-01-01,-9528.065345,96,2943.5635416666664,1.0,66,Greed
2025-01-02,8716.519087,361,2145.9136842105263,0.3622641509433962,70,Greed
2025-01-03,6028.486793,508,1518.1279330708662,0.3582887700534759,74,Greed
2025-01-04,2553.537968,371,4921.912722371967,0.17405063291139242,73,Greed
2025-01-05,3187.719363,239,1890.977280334728,0.1380952380952381,72,Greed
2025-01-06,6064.185393,573,971.2512914485166,0.20378151260504201,76,Extreme Greed
2025-01-07,16098.227531,637,2061.504081632653,0.1518987341772152,78,Extreme Greed
2025-01-08,130117.090554,1039,3058.0126852743024,1.421911421911422,70,Greed
